Def_Tm,Def_Year,Def_PF,Def_Fum_Play,Def_Comp_Pct,Def_TD_PA,Def_INT_PA,Def_NY/A,Def_1D_PA,Def_TD_RA,Def_Y/A,Def_1D_RA,Def_Pass_Pct
MIN,2017,252,0.005230125523012552,0.5837837837837838,0.023423423423423424,0.025225225225225224,5.2,0.3027027027027027,0.027472527472527472,3.7,0.1620879120879121,0.6039173014145811
JAX,2017,268,0.012084592145015106,0.5677799607072691,0.03339882121807466,0.0412573673870334,4.8,0.28094302554027506,0.02097902097902098,4.3,0.21212121212121213,0.5426439232409381
LAC,2017,272,0.009027081243731194,0.6278625954198473,0.03244274809160305,0.03435114503816794,5.6,0.2919847328244275,0.02558139534883721,4.9,0.2302325581395349,0.549266247379455
PHI,2017,295,0.012295081967213115,0.6039933444259568,0.03993344425956739,0.03161397670549085,5.7,0.2945091514143095,0.020771513353115726,3.8,0.18397626112759644,0.6407249466950959
NE,2017,296,0.005870841487279843,0.6220338983050847,0.04067796610169491,0.020338983050847456,6.4,0.34576271186440677,0.015384615384615385,4.7,0.2512820512820513,0.6020408163265306
BAL,2017,303,0.011483253588516746,0.5852372583479789,0.03163444639718805,0.03866432337434095,5.6,0.3145869947275923,0.027586206896551724,4.1,0.2,0.5667330677290837
PIT,2017,308,0.006382978723404255,0.5951903807615231,0.04008016032064128,0.03206412825651302,5.8,0.31462925851703405,0.03636363636363636,4.4,0.23116883116883116,0.5644796380090498
ATL,2017,315,0.008048289738430584,0.6546112115732369,0.039783001808318265,0.014466546112115732,5.8,0.3562386980108499,0.022388059701492536,4.1,0.24129353233830847,0.5790575916230366
CHI,2017,320,0.013958125623130608,0.6483931947069943,0.034026465028355386,0.015122873345935728,5.9,0.34026465028355385,0.023148148148148147,4.0,0.19675925925925927,0.5504682622268471
NO,2017,326,0.00499001996007984,0.5938628158844765,0.039711191335740074,0.036101083032490974,6.0,0.3104693140794224,0.027093596059113302,4.4,0.22660098522167488,0.5770833333333333
CAR,2017,327,0.011542497376705142,0.6381818181818182,0.045454545454545456,0.01818181818181818,6.1,0.34,0.019830028328611898,4.0,0.1954674220963173,0.6090808416389811
LA,2017,329,0.009794319294809012,0.5837837837837838,0.03783783783783784,0.032432432432432434,5.8,0.3261261261261261,0.03588516746411483,4.7,0.20574162679425836,0.5704008221993834
DAL,2017,332,0.011,0.6636851520572451,0.05008944543828265,0.017889087656529516,5.7,0.32379248658318427,0.017369727047146403,4.1,0.23821339950372208,0.581081081081081
SEA,2017,332,0.010526315789473684,0.5866425992779783,0.03429602888086643,0.02527075812274368,5.6,0.3267148014440433,0.030973451327433628,4.0,0.19911504424778761,0.5506958250497018
KC,2017,339,0.009578544061302681,0.5701754385964912,0.04035087719298246,0.028070175438596492,6.6,0.35789473684210527,0.033860045146726865,4.3,0.2528216704288939,0.562685093780849
CIN,2017,349,0.002749770852428964,0.5989304812834224,0.035650623885918005,0.0196078431372549,5.6,0.3083778966131907,0.026584867075664622,4.2,0.22699386503067484,0.5342857142857143
TEN,2017,356,0.008604206500956023,0.6099173553719008,0.04462809917355372,0.019834710743801654,5.9,0.38181818181818183,0.01256281407035176,3.6,0.1708542713567839,0.6031904287138584
BUF,2017,359,0.006566604127579738,0.6457242582897034,0.02443280977312391,0.031413612565445025,6.1,0.3472949389179756,0.04721030042918455,4.3,0.259656652360515,0.5514918190567853
ARI,2017,361,0.005952380952380952,0.6081560283687943,0.0425531914893617,0.026595744680851064,5.9,0.33156028368794327,0.029484029484029485,3.5,0.16707616707616707,0.5808444902162719
LV,2017,373,0.009054325955734407,0.6811320754716981,0.045283018867924525,0.009433962264150943,6.9,0.35283018867924526,0.025404157043879907,4.0,0.21478060046189376,0.5503634475597092
DET,2017,376,0.01253616200578592,0.6421052631578947,0.03684210526315789,0.03333333333333333,6.4,0.35964912280701755,0.041666666666666664,4.2,0.2523148148148148,0.5688622754491018
NYJ,2017,382,0.008555133079847909,0.589605734767025,0.053763440860215055,0.01971326164874552,6.4,0.34229390681003585,0.027896995708154508,4.0,0.1888412017167382,0.544921875
DEN,2017,382,0.007352941176470588,0.5987780040733197,0.059063136456211814,0.020366598778004074,6.1,0.3380855397148676,0.02102803738317757,3.3,0.1588785046728972,0.5342763873775843
TB,2017,382,0.012858555885262116,0.6757741347905283,0.04007285974499089,0.023679417122040074,7.3,0.3679417122040073,0.038636363636363635,4.3,0.2318181818181818,0.5551061678463094
SF,2017,383,0.009389671361502348,0.6323529411764706,0.04963235294117647,0.01838235294117647,6.6,0.3639705882352941,0.026476578411405296,3.8,0.219959266802444,0.5256038647342995
GB,2017,384,0.010848126232741617,0.6783625730994152,0.05847953216374269,0.021442495126705652,6.9,0.41130604288499023,0.021551724137931036,3.9,0.20474137931034483,0.5250767656090072
NYG,2017,388,0.005703422053231939,0.6185383244206774,0.0570409982174688,0.023172905525846704,6.9,0.33689839572192515,0.021551724137931036,4.2,0.21767241379310345,0.5473170731707317
WAS,2017,388,0.0066985645933014355,0.576271186440678,0.04331450094161959,0.030131826741996232,6.0,0.3220338983050847,0.02754237288135593,4.5,0.22245762711864406,0.5294117647058824
MIA,2017,393,0.006066734074823054,0.6420454545454546,0.04924242424242424,0.017045454545454544,6.5,0.35984848484848486,0.03248259860788863,4.1,0.20417633410672853,0.5505735140771637
IND,2017,404,0.00682261208576998,0.6237816764132553,0.04483430799220273,0.025341130604288498,7.3,0.3742690058479532,0.030737704918032786,3.9,0.2028688524590164,0.5124875124875125
CLE,2017,410,0.005847953216374269,0.6857142857142857,0.05333333333333334,0.013333333333333334,6.6,0.36,0.029978586723768737,3.4,0.20342612419700215,0.5292338709677419
HOU,2017,436,0.0051387461459403904,0.6407185628742516,0.059880239520958084,0.021956087824351298,7.1,0.35129740518962077,0.031818181818181815,4.0,0.2,0.5324123273113709
CHI,2018,283,0.008964143426294821,0.6130081300813008,0.03577235772357724,0.04390243902439024,5.3,0.3024390243902439,0.014749262536873156,3.8,0.1976401179941003,0.6446540880503144
BAL,2018,287,0.00513347022587269,0.584055459272097,0.036395147313691506,0.02079722703639515,5.4,0.30155979202772965,0.031073446327683617,3.7,0.23163841807909605,0.6197636949516648
TEN,2018,303,0.005994005994005994,0.6322701688555347,0.039399624765478425,0.020637898686679174,6.1,0.34146341463414637,0.02097902097902098,4.3,0.22843822843822845,0.5540540540540541
HOU,2018,316,0.0136986301369863,0.6481481481481481,0.04713804713804714,0.025252525252525252,6.5,0.3367003367003367,0.02077922077922078,3.4,0.1974025974025974,0.6067415730337079
JAX,2018,316,0.006185567010309278,0.625250501002004,0.03406813627254509,0.022044088176352707,5.8,0.3246492985971944,0.03686635944700461,4.3,0.20506912442396313,0.5348338692390139
DAL,2018,324,0.011213047910295617,0.6771217712177122,0.04059040590405904,0.016605166051660517,6.5,0.35608856088560886,0.03,3.8,0.2225,0.5753715498938429
NE,2018,325,0.00998003992015968,0.6115702479338843,0.047933884297520664,0.02975206611570248,6.2,0.343801652892562,0.01907356948228883,4.9,0.25340599455040874,0.6224279835390947
LAC,2018,329,0.007135575942915392,0.6405109489051095,0.041970802919708027,0.023722627737226276,6.2,0.3248175182481752,0.027848101265822784,4.3,0.25569620253164554,0.5811240721102863
MIN,2018,341,0.008056394763343404,0.6262425447316103,0.02982107355864811,0.02385685884691849,5.7,0.31809145129224653,0.029545454545454545,4.1,0.2431818181818182,0.5334040296924708
IND,2018,344,0.011033099297893681,0.7084870848708487,0.03874538745387454,0.027675276752767528,6.6,0.37453874538745385,0.02877697841726619,3.9,0.20863309352517986,0.5651720542231491
SEA,2018,347,0.014659685863874346,0.6501831501831502,0.047619047619047616,0.02197802197802198,6.5,0.36813186813186816,0.02459016393442623,4.9,0.24863387978142076,0.5986842105263158
PHI,2018,348,0.006986027944111776,0.6661341853035144,0.03514376996805112,0.01597444089456869,6.4,0.34345047923322686,0.04216867469879518,4.7,0.21385542168674698,0.6534446764091858
DEN,2018,349,0.010763209393346379,0.6429872495446266,0.04735883424408015,0.030965391621129327,6.6,0.3588342440801457,0.02564102564102564,4.5,0.19813519813519814,0.5613496932515337
NO,2018,353,0.012269938650306749,0.6701570680628273,0.05235602094240838,0.020942408376963352,6.9,0.39092495636998253,0.033707865168539325,3.6,0.20224719101123595,0.6167922497308934
WAS,2018,359,0.01104417670682731,0.6741154562383612,0.05027932960893855,0.027932960893854747,6.5,0.36685288640595903,0.029055690072639227,4.5,0.2639225181598063,0.5652631578947368
DET,2018,360,0.0074309978768577496,0.6512096774193549,0.05846774193548387,0.014112903225806451,6.7,0.3850806451612903,0.02729528535980149,4.4,0.21836228287841192,0.5517241379310345
PIT,2018,360,0.0070921985815602835,0.6395759717314488,0.04770318021201413,0.014134275618374558,6.0,0.35335689045936397,0.03523035230352303,4.2,0.22764227642276422,0.6053475935828877
BUF,2018,374,0.011363636363636364,0.6361788617886179,0.044715447154471545,0.032520325203252036,5.4,0.31910569105691056,0.038636363636363635,4.2,0.25227272727272726,0.5278969957081545
CAR,2018,382,0.010548523206751054,0.667296786389414,0.06049149338374291,0.024574669187145556,6.8,0.3497164461247637,0.033854166666666664,4.7,0.2864583333333333,0.579408543263965
LA,2018,384,0.0125,0.651031894934334,0.058161350844277676,0.03377110694183865,6.6,0.34709193245778613,0.031088082901554404,5.1,0.2616580310880829,0.5799782372143635
CLE,2018,392,0.012477718360071301,0.6277955271565495,0.03354632587859425,0.027156549520766772,6.2,0.3450479233226837,0.04357298474945534,4.7,0.28322440087145967,0.5769585253456221
GB,2018,400,0.007866273352999017,0.6375711574952562,0.056925996204933584,0.013282732447817837,6.6,0.3776091081593928,0.033632286995515695,4.3,0.2242152466367713,0.5416238437821171
NYG,2018,412,0.004835589941972921,0.6464285714285715,0.04285714285714286,0.02857142857142857,6.9,0.36607142857142855,0.04054054054054054,4.3,0.23198198198198197,0.5577689243027888
KC,2018,421,0.010820559062218215,0.6424050632911392,0.04746835443037975,0.023734177215189875,6.4,0.39082278481012656,0.04470588235294118,5.0,0.3035294117647059,0.597918637653737
ATL,2018,423,0.0038797284190106693,0.6803418803418804,0.05641025641025641,0.02564102564102564,6.7,0.38632478632478634,0.039119804400977995,4.9,0.28117359413202936,0.5885311871227364
ARI,2018,425,0.008450704225352112,0.6758893280632411,0.041501976284584984,0.01383399209486166,5.9,0.3675889328063241,0.049019607843137254,4.9,0.2725490196078431,0.49803149606299213
MIA,2018,433,0.0068359375,0.6594488188976378,0.0610236220472441,0.04133858267716536,7.3,0.3838582677165354,0.03505154639175258,4.8,0.23917525773195877,0.5115810674723061
SF,2018,435,0.004887585532746823,0.6346863468634686,0.06457564575645756,0.0036900369003690036,6.4,0.35977859778597787,0.02927927927927928,4.1,0.23423423423423423,0.5496957403651116
NYJ,2018,441,0.006597549481621112,0.6305841924398625,0.04982817869415808,0.022336769759450172,6.5,0.34536082474226804,0.03636363636363636,4.6,0.23636363636363636,0.5694716242661448
CIN,2018,455,0.005535055350553505,0.666095890410959,0.0547945205479452,0.02054794520547945,7.1,0.3784246575342466,0.03648068669527897,4.7,0.26824034334763946,0.5561904761904762
TB,2018,464,0.008016032064128256,0.7247191011235955,0.06367041198501873,0.016853932584269662,7.3,0.3913857677902622,0.04460093896713615,4.7,0.2863849765258216,0.55625
LV,2018,467,0.003083247687564234,0.6229166666666667,0.075,0.029166666666666667,7.8,0.37083333333333335,0.03333333333333333,4.7,0.225,0.5
NE,2019,225,0.011603375527426161,0.5652985074626866,0.024253731343283583,0.04664179104477612,5.0,0.2798507462686567,0.019178082191780823,4.2,0.19726027397260273,0.5948945615982242
BUF,2019,259,0.009137055837563452,0.6292947558770343,0.027124773960216998,0.02531645569620253,5.2,0.30560578661844484,0.030927835051546393,4.3,0.23969072164948454,0.5876726886291179
BAL,2019,282,0.013029315960912053,0.5845588235294118,0.027573529411764705,0.02389705882352941,5.7,0.29963235294117646,0.03529411764705882,4.4,0.21764705882352942,0.6153846153846154
CHI,2019,298,0.008849557522123894,0.6339754816112084,0.0297723292469352,0.017513134851138354,5.9,0.3327495621716287,0.03864734299516908,3.9,0.20772946859903382,0.5796954314720812
MIN,2019,303,0.013295346628679962,0.6555740432612313,0.03826955074875208,0.028286189683860232,5.8,0.3577371048252912,0.019801980198019802,4.3,0.19306930693069307,0.5980099502487563
PIT,2019,303,0.017475728155339806,0.6108949416342413,0.04474708171206226,0.038910505836575876,5.5,0.31906614785992216,0.015151515151515152,3.8,0.23809523809523808,0.5266393442622951
KC,2019,308,0.006711409395973154,0.6048109965635738,0.03608247422680412,0.027491408934707903,5.7,0.32646048109965636,0.03365384615384615,4.9,0.2764423076923077,0.5831663326653307
SF,2019,310,0.015495867768595042,0.6127167630057804,0.04431599229287091,0.023121387283236993,4.8,0.28901734104046245,0.02743142144638404,4.5,0.26184538653366585,0.5641304347826087
GB,2019,313,0.008016032064128256,0.5970695970695971,0.0347985347985348,0.031135531135531136,6.3,0.3498168498168498,0.0364963503649635,4.7,0.24087591240875914,0.5705329153605015
DEN,2019,316,0.006979062811565304,0.6480446927374302,0.035381750465549346,0.0186219739292365,6.3,0.3258845437616387,0.02112676056338028,4.2,0.22535211267605634,0.557632398753894
DAL,2019,321,0.009852216748768473,0.6502636203866432,0.03690685413005272,0.012302284710017574,5.9,0.3304042179261863,0.0343980343980344,4.1,0.24815724815724816,0.5829918032786885
TEN,2019,331,0.008522727272727272,0.6454849498327759,0.04180602006688963,0.023411371237458192,6.4,0.35618729096989965,0.033734939759036145,4.0,0.2289156626506024,0.5903257650542941
NO,2019,341,0.01001001001001001,0.615257048092869,0.04477611940298507,0.02155887230514096,5.9,0.32669983416252074,0.034782608695652174,4.2,0.20579710144927535,0.6360759493670886
LAC,2019,345,0.0032502708559046588,0.7068965517241379,0.04525862068965517,0.023706896551724137,6.5,0.33620689655172414,0.03496503496503497,4.2,0.23543123543123542,0.5195968645016797
PHI,2019,354,0.009307135470527405,0.6094570928196147,0.047285464098073555,0.01926444833625219,6.3,0.3239929947460595,0.036827195467422094,4.1,0.21529745042492918,0.6179653679653679
NYJ,2019,359,0.008678881388621022,0.6205128205128205,0.042735042735042736,0.020512820512820513,6.1,0.31965811965811963,0.02877697841726619,3.3,0.17985611510791366,0.5838323353293413
LA,2019,364,0.010416666666666666,0.6192170818505338,0.04092526690391459,0.023131672597864767,5.9,0.34519572953736655,0.033783783783783786,4.1,0.22522522522522523,0.558648111332008
IND,2019,373,0.008113590263691683,0.701067615658363,0.051601423487544484,0.026690391459074734,6.6,0.3683274021352313,0.020887728459530026,4.1,0.24281984334203655,0.5947089947089947
HOU,2019,385,0.00980392156862745,0.6399317406143344,0.05631399317406143,0.020477815699658702,6.9,0.37542662116040953,0.02977667493796526,4.8,0.24317617866004962,0.5925176946410515
CLE,2019,393,0.005917159763313609,0.6198830409356725,0.04873294346978557,0.02729044834307992,6.3,0.3586744639376218,0.04103671706263499,5.0,0.2678185745140389,0.5256147540983607
JAX,2019,397,0.009009009009009009,0.632495164410058,0.0425531914893617,0.019342359767891684,6.7,0.3733075435203095,0.052873563218390804,5.1,0.2620689655172414,0.5430672268907563
SEA,2019,398,0.015779092702169626,0.6404682274247492,0.03177257525083612,0.026755852842809364,6.7,0.3745819397993311,0.05670103092783505,4.9,0.25,0.6064908722109533
ATL,2019,399,0.008121827411167513,0.6548507462686567,0.05223880597014925,0.022388059701492536,6.9,0.3582089552238806,0.030878859857482184,4.2,0.25653206650831356,0.5600835945663531
LV,2019,419,0.006230529595015576,0.6406844106463878,0.06273764258555133,0.017110266159695818,7.4,0.3821292775665399,0.037037037037037035,3.9,0.22469135802469137,0.564983888292159
CIN,2019,420,0.004835589941972921,0.6172344689378757,0.050100200400801605,0.022044088176352707,7.4,0.3667334669338677,0.03373015873015873,4.7,0.24603174603174602,0.49750747756729813
DET,2019,423,0.010054844606946984,0.6235679214402619,0.054009819967266774,0.011456628477905073,7.1,0.37970540098199673,0.02857142857142857,4.1,0.20659340659340658,0.573170731707317
WAS,2019,435,0.008341056533827619,0.687037037037037,0.06481481481481481,0.024074074074074074,6.5,0.37037037037037035,0.028397565922920892,4.7,0.2434077079107505,0.5227492739593417
ARI,2019,442,0.009259259259259259,0.7004991680532446,0.0632279534109817,0.011647254575707155,7.0,0.4043261231281198,0.02050113895216401,4.4,0.214123006833713,0.5778846153846153
TB,2019,449,0.014911463187325256,0.6144578313253012,0.045180722891566265,0.018072289156626505,6.1,0.33433734939759036,0.03038674033149171,3.3,0.19337016574585636,0.6471734892787524
NYG,2019,451,0.005655042412818096,0.6636690647482014,0.0539568345323741,0.017985611510791366,7.1,0.37949640287769787,0.04051172707889126,3.9,0.21321961620469082,0.5424390243902439
CAR,2019,470,0.0067178502879078695,0.6378676470588235,0.03860294117647059,0.025735294117647058,6.2,0.36213235294117646,0.0696629213483146,5.2,0.2876404494382023,0.5500505561172901
MIA,2019,494,0.002849002849002849,0.6311926605504588,0.07155963302752294,0.023853211009174313,7.4,0.3926605504587156,0.030927835051546393,4.5,0.2329896907216495,0.529126213592233
